fieldname;short_code;content
$i94prt ; EUR ; EUREKA, MT (BPS)
$i94prt ; BZN ; GALLATIN FIELD - BOZEMAN, MT
$i94prt ; FCA ; GLACIER NATIONAL PARK, MT
$i94prt ; GGW ; GLASGOW, MT           
$i94prt ; GRE ; GREAT FALLS, MT       
$i94prt ; HVR ; HAVRE, MT             
$i94prt ; HEL ; HELENA, MT            
$i94prt ; LWT ; LEWISTON, MT          
$i94prt ; MGM ; MORGAN, MT            
$i94prt ; OPH ; OPHEIM, MT            
$i94prt ; PIE ; PIEGAN, MT            
$i94prt ; RAY ; RAYMOND, MT           
$i94prt ; ROO ; ROOSVILLE, MT         
$i94prt ; SCO ; SCOBEY, MT            
$i94prt ; SWE ; SWEETGTASS, MT        
$i94prt ; TRL ; TRIAL CREEK, MT       
$i94prt ; TUR ; TURNER, MT            
$i94prt ; WCM ; WILLOW CREEK, MT      
$i94prt ; CLT ; CHARLOTTE, NC         
$i94prt ; FAY ; FAYETTEVILLE, NC
$i94prt ; MRH ; MOREHEAD CITY, NC     
$i94prt ; FOP ; MORRIS FIELDS AAF, NC
$i94prt ; GSO ; PIEDMONT TRIAD INTL AIRPORT, NC
$i94prt ; RDU ; RALEIGH/DURHAM, NC    
$i94prt ; SSC ; SHAW AFB - SUMTER, NC
$i94prt ; WIL ; WILMINGTON, NC        
$i94prt ; AMB ; AMBROSE, ND           
$i94prt ; ANT ; ANTLER, ND            
$i94prt ; CRY ; CARBURY, ND           
$i94prt ; DNS ; DUNSEITH, ND          
$i94prt ; FAR ; FARGO, ND             
$i94prt ; FRT ; FORTUNA, ND           
$i94prt ; GRF ; GRAND FORKS, ND       
$i94prt ; HNN ; HANNAH, ND            
$i94prt ; HNS ; HANSBORO, ND          
$i94prt ; MAI ; MAIDA, ND             
$i94prt ; MND ; MINOT, ND             
$i94prt ; NEC ; NECHE, ND             
$i94prt ; NOO ; NOONAN, ND            
$i94prt ; NRG ; NORTHGATE, ND         
$i94prt ; PEM ; PEMBINA, ND           
$i94prt ; SAR ; SARLES, ND            
$i94prt ; SHR ; SHERWOOD, ND          
$i94prt ; SJO ; ST JOHN, ND           
$i94prt ; WAL ; WALHALLA, ND          
$i94prt ; WHO ; WESTHOPE, ND          
$i94prt ; WND ; WILLISTON, ND         
$i94prt ; OMA ; OMAHA, NE             
$i94prt ; LEB ; LEBANON, NH           
$i94prt ; MHT ; MANCHESTER, NH
$i94prt ; PNH ; PITTSBURG, NH         
$i94prt ; PSM ; PORTSMOUTH, NH        
$i94prt ; BYO ; BAYONNE, NJ           
$i94prt ; CNJ ; CAMDEN, NJ            
$i94prt ; HOB ; HOBOKEN, NJ           
$i94prt ; JER ; JERSEY CITY, NJ       
$i94prt ; WRI ; MC GUIRE AFB - WRIGHTSOWN, NJ
$i94prt ; MMU ; MORRISTOWN, NJ
$i94prt ; NEW ; NEWARK/TETERBORO, NJ  
$i94prt ; PER ; PERTH AMBOY, NJ       
$i94prt ; ACY ; POMONA FIELD - ATLANTIC CITY, NJ
$i94prt ; ALA ; ALAMAGORDO, NM (BPS)
$i94prt ; ABQ ; ALBUQUERQUE, NM       
$i94prt ; ANP ; ANTELOPE WELLS, NM    
$i94prt ; CRL ; CARLSBAD, NM          
$i94prt ; COL ; COLUMBUS, NM          
